Tue Aug  4 23:40:00 EDT 2015, 5403
Tue Aug  4 23:45:00 EDT 2015, 4096
Tue Aug  4 23:50:00 EDT 2015, 3770
Tue Aug  4 23:55:00 EDT 2015, 5284
Wed Aug  5 11:00:00 EDT 2015, 4958
Wed Aug  5 11:05:00 EDT 2015, 5171
Wed Aug  5 11:10:00 EDT 2015, 5296
Wed Aug  5 11:15:00 EDT 2015, 5604
Wed Aug  5 11:20:00 EDT 2015, 3438
Wed Aug  5 11:25:00 EDT 2015, 5544
Wed Aug  5 11:30:00 EDT 2015, 4641
Wed Aug  5 11:35:00 EDT 2015, 4815
Wed Aug  5 11:40:00 EDT 2015, 5706
Wed Aug  5 11:45:00 EDT 2015, 2543
Wed Aug  5 11:50:00 EDT 2015, 4761
Wed Aug  5 11:55:00 EDT 2015, 5400
Wed Aug  5 12:00:00 EDT 2015, 5685
Wed Aug  5 12:05:00 EDT 2015, 2257
Wed Aug  5 12:10:00 EDT 2015, 4568
Wed Aug  5 12:15:00 EDT 2015, 5685
Wed Aug  5 12:20:00 EDT 2015, 5617
Wed Aug  5 12:25:00 EDT 2015, 4593
Wed Aug  5 12:30:00 EDT 2015, 4997
Wed Aug  5 12:35:00 EDT 2015, 6184
Wed Aug  5 12:40:00 EDT 2015, 3679
Wed Aug  5 12:45:00 EDT 2015, 5590
Wed Aug  5 12:50:00 EDT 2015, 4883
Wed Aug  5 12:55:00 EDT 2015, 3266
Wed Aug  5 13:00:00 EDT 2015, 3950
Wed Aug  5 13:25:00 EDT 2015, 1794
Wed Aug  5 13:30:00 EDT 2015, 1926
Wed Aug  5 13:38:43 EDT 2015, 1807
Wed Aug  5 13:40:00 EDT 2015, 1804
Wed Aug  5 13:45:00 EDT 2015, 1795
Wed Aug  5 13:57:01 EDT 2015, 1801
Wed Aug  5 14:00:00 EDT 2015, 3287
Wed Aug  5 14:05:00 EDT 2015, 4454
Wed Aug  5 14:10:00 EDT 2015, 3482
Wed Aug  5 14:15:00 EDT 2015, 6204
Wed Aug  5 14:20:00 EDT 2015, 3264
Wed Aug  5 14:25:00 EDT 2015, 2495
Wed Aug  5 14:30:00 EDT 2015, 4271
Wed Aug  5 14:35:00 EDT 2015, 2710
Wed Aug  5 17:50:00 EDT 2015, 1800
Wed Aug  5 17:55:00 EDT 2015, 1798
Wed Aug  5 18:00:00 EDT 2015, 1835
Wed Aug  5 18:05:00 EDT 2015, 3803
Wed Aug  5 18:10:00 EDT 2015, 5620
Wed Aug  5 18:15:00 EDT 2015, 1801
Wed Aug  5 18:20:00 EDT 2015, 4053
Wed Aug  5 18:25:00 EDT 2015, 3334
Wed Aug  5 18:30:00 EDT 2015, 5369
Wed Aug  5 18:35:00 EDT 2015, 6192
Wed Aug  5 18:40:00 EDT 2015, 4716
Wed Aug  5 18:45:00 EDT 2015, 5450
Wed Aug  5 18:50:00 EDT 2015, 2825
Wed Aug  5 18:55:00 EDT 2015, 4518
Wed Aug  5 19:00:00 EDT 2015, 3499
Wed Aug  5 19:05:00 EDT 2015, 3665
Wed Aug  5 19:10:00 EDT 2015, 3650
Wed Aug  5 19:15:00 EDT 2015, 3688
Wed Aug  5 19:20:01 EDT 2015, 6192
Wed Aug  5 19:25:00 EDT 2015, 5900
Wed Aug  5 19:30:00 EDT 2015, 3903
Wed Aug  5 19:35:00 EDT 2015, 4560
Wed Aug  5 19:40:00 EDT 2015, 4555
Wed Aug  5 19:45:00 EDT 2015, 3624
Wed Aug  5 19:50:00 EDT 2015, 6208
Wed Aug  5 19:55:00 EDT 2015, 6192
Wed Aug  5 20:00:00 EDT 2015, 5413
Wed Aug  5 20:05:00 EDT 2015, 6188
Wed Aug  5 20:10:01 EDT 2015, 4524
Wed Aug  5 20:15:00 EDT 2015, 2412
Wed Aug  5 20:20:00 EDT 2015, 6135
Wed Aug  5 20:25:00 EDT 2015, 1800
Wed Aug  5 20:30:00 EDT 2015, 2309
Wed Aug  5 20:35:00 EDT 2015, 5727
Wed Aug  5 20:40:00 EDT 2015, 2146
Wed Aug  5 20:45:00 EDT 2015, 2900
Wed Aug  5 20:50:00 EDT 2015, 6204
Wed Aug  5 20:55:00 EDT 2015, 5002
Wed Aug  5 21:00:00 EDT 2015, 1796
Wed Aug  5 21:25:00 EDT 2015, 1805
Wed Aug  5 21:30:00 EDT 2015, 4234
Wed Aug  5 21:35:01 EDT 2015, 4103
Wed Aug  5 21:40:00 EDT 2015, 1802
Wed Aug  5 21:45:00 EDT 2015, 3244
Wed Aug  5 21:50:00 EDT 2015, 2915
Wed Aug  5 21:55:00 EDT 2015, 2956
Wed Aug  5 22:00:00 EDT 2015, 3514
Wed Aug  5 22:05:00 EDT 2015, 3828
Wed Aug  5 22:10:00 EDT 2015, 2828
Wed Aug  5 22:15:00 EDT 2015, 2619
Wed Aug  5 22:20:00 EDT 2015, 5758
Wed Aug  5 22:25:00 EDT 2015, 2176
Wed Aug  5 22:30:00 EDT 2015, 2638
Wed Aug  5 22:35:00 EDT 2015, 2670
Wed Aug  5 22:40:00 EDT 2015, 1805
Wed Aug  5 22:45:00 EDT 2015, 1810
Wed Aug  5 22:50:00 EDT 2015, 1788
Wed Aug  5 22:55:00 EDT 2015, 1804
Wed Aug  5 23:00:00 EDT 2015, 1792
Wed Aug  5 23:05:00 EDT 2015, 1800
Wed Aug  5 23:10:00 EDT 2015, 1804
Wed Aug  5 23:15:00 EDT 2015, 1898
Wed Aug  5 23:20:00 EDT 2015, 4288
Wed Aug  5 23:25:00 EDT 2015, 6048
Wed Aug  5 23:30:00 EDT 2015, 1800
Wed Aug  5 23:35:00 EDT 2015, 1906
Wed Aug  5 23:40:00 EDT 2015, 4346
Wed Aug  5 23:45:00 EDT 2015, 3608
